create_at,url,short_url,title,meta_description,lang,content_type,is_available,failed
2025-09-19 22:11:26.903710,https://x.gd/view/notfound,https://x.gd/KTnO5,,,,,False,
2025-09-19 22:11:28.126842,https://x.gd/view/notfound,https://x.gd/BPC8c,,,,,False,
2025-09-19 22:11:29.654382,https://x.gd/view/notfound,https://x.gd/rRZ7c,,,,,False,
2025-09-19 22:11:31.053480,https://x.gd/view/notfound,https://x.gd/JU7Js,,,,,False,
2025-09-19 22:11:32.124221,https://x.gd/view/notfound,https://x.gd/JRBCN,,,,,False,
2025-09-19 22:11:33.921698,https://x.gd/view/notfound,https://x.gd/uABEL,,,,,False,
2025-09-19 22:11:34.838483,https://x.gd/view/notfound,https://x.gd/1GVri,,,,,False,
2025-09-19 22:11:36.197045,https://x.gd/view/notfound,https://x.gd/rmDaR,,,,,False,
2025-09-19 22:11:37.417031,https://x.gd/view/notfound,https://x.gd/qRX3h,,,,,False,
2025-09-19 22:11:38.808241,https://x.gd/view/notfound,https://x.gd/h53Zo,,,,,False,
2025-09-19 22:11:40.144596,https://x.gd/view/notfound,https://x.gd/WyZRC,,,,,False,
2025-09-19 22:11:41.514819,https://x.gd/view/notfound,https://x.gd/oGT9v,,,,,False,
2025-09-19 22:11:42.820031,https://x.gd/view/notfound,https://x.gd/78nji,,,,,False,
2025-09-19 22:11:45.502765,https://x.gd/view/notfound,https://x.gd/g73gy,,,,,False,
2025-09-19 22:11:46.704402,https://x.gd/view/notfound,https://x.gd/nf0He,,,,,False,
2025-09-19 22:11:48.082358,https://x.gd/view/notfound,https://x.gd/UYPDl,,,,,False,
2025-09-19 22:11:49.174178,https://x.gd/view/notfound,https://x.gd/2ruQe,,,,,False,
2025-09-19 22:11:51.710429,https://x.gd/view/notfound,https://x.gd/eHfgw,,,,,False,
2025-09-19 22:11:52.995578,https://x.gd/view/notfound,https://x.gd/RQP3X,,,,,False,
2025-09-19 22:11:54.235433,https://x.gd/view/notfound,https://x.gd/b9Ama,,,,,False,
2025-09-19 22:11:55.503393,https://x.gd/view/notfound,https://x.gd/EIY0P,,,,,False,
2025-09-19 22:11:56.761312,https://x.gd/view/notfound,https://x.gd/zsiAN,,,,,False,
2025-09-19 22:11:58.095924,https://x.gd/view/notfound,https://x.gd/AieYT,,,,,False,
2025-09-19 22:11:59.382811,https://x.gd/view/notfound,https://x.gd/KOBRF,,,,,False,
2025-09-19 22:12:00.470228,https://x.gd/view/notfound,https://x.gd/qQLFT,,,,,False,
2025-09-19 22:12:01.793109,https://x.gd/view/notfound,https://x.gd/OJGLK,,,,,False,
2025-09-19 22:12:03.297054,https://x.gd/view/notfound,https://x.gd/qB1wf,,,,,False,
2025-09-19 22:12:05.231074,https://x.gd/view/notfound,https://x.gd/bJNOv,,,,,False,
2025-09-19 22:12:06.101972,https://x.gd/view/notfound,https://x.gd/qndHF,,,,,False,
2025-09-19 22:12:08.030581,https://x.gd/view/notfound,https://x.gd/0AAvy,,,,,False,
2025-09-19 22:12:08.951103,https://x.gd/view/notfound,https://x.gd/nRY8t,,,,,False,
2025-09-19 22:12:10.432772,https://x.gd/view/notfound,https://x.gd/8WML7,,,,,False,
2025-09-19 22:12:11.867379,https://x.gd/view/notfound,https://x.gd/g1498,,,,,False,
2025-09-19 22:12:13.294149,https://x.gd/view/notfound,https://x.gd/7lNdr,,,,,False,
2025-09-19 22:12:14.243107,https://x.gd/view/notfound,https://x.gd/Oj9Dh,,,,,False,
2025-09-19 22:12:15.631936,https://x.gd/view/notfound,https://x.gd/fwNWS,,,,,False,
2025-09-19 22:12:16.682559,https://x.gd/view/notfound,https://x.gd/vNArp,,,,,False,
2025-09-19 22:12:17.888558,https://x.gd/view/notfound,https://x.gd/6EjYy,,,,,False,
2025-09-19 22:12:19.312581,https://x.gd/view/notfound,https://x.gd/Kzr7m,,,,,False,
2025-09-19 22:12:20.877777,https://x.gd/view/notfound,https://x.gd/xGpoQ,,,,,False,
2025-09-19 22:12:21.934126,https://x.gd/view/notfound,https://x.gd/C5orL,,,,,False,
2025-09-19 22:12:23.315268,https://x.gd/view/notfound,https://x.gd/0Fn2G,,,,,False,
2025-09-19 22:12:24.301720,https://x.gd/view/notfound,https://x.gd/3lWWd,,,,,False,
2025-09-19 22:12:25.449704,https://x.gd/view/notfound,https://x.gd/Uyv5O,,,,,False,
2025-09-19 22:12:26.773001,https://x.gd/view/notfound,https://x.gd/whs6b,,,,,False,
2025-09-19 22:12:29.153317,https://x.gd/view/notfound,https://x.gd/ZViTy,,,,,False,
2025-09-19 22:12:30.241500,https://x.gd/view/notfound,https://x.gd/e3PnC,,,,,False,
